paradisaical: paradisiacal 
mooring: rooming 
impugns: spuming 
impugn: umping 
musings: mussing 
gimpy: pigmy 
snooping: spooning 
noting: toning 
turnings: unstring 
stopping: toppings 
poring: roping 
posturing: sprouting 
postings: signpost 
groins: signor 
sorting: storing 
rousing: souring 
routing: touring 
ousting: outings 
pursuing: usurping 
grin: ring 
grins: rings 
truing: turing 
gins: sign sing 
signs: sings 
sting: tings 
suing: using 
swing: wings 
vigor: virgo 
gip: pig 
grip: prig 
grips: prigs sprig 
gris: rigs 
girts: grist grits trigs 
girt: grit trig 
gist: gits 
swig: wigs 
lungs: slung 
gulps: plugs 
gulp: plug 
lugs: slug 
smogs: smogs 
gums: mugs smug 
gum: mug 
grown: wrong 
snog: song 
snogs: songs 
grunts: strung 
gnus: guns snug sung 
gnu: gun 
gorps: sprog 
gory: gyro orgy 
gouts: gusto 
got: tog 
grus: rugs 
gust: guts tugs 
gusty: gutsy 
gut: tug 
kinship: pinkish 
isthmi: mishit 
irtish: tishri 
hills: shill 
lowish: owlish 
humorist: thoriums 
hims: shim 
punish: unship 
hints: thins 
hint: thin 
hopi: ipoh 
outwith: without 
hip: phi 
hips: phis ship 
irtysh: shirty 
hist: hits shit this 
whist: whits 
whit: with 
hokum: khoum 
hooks: shook 
holst: sloth 
lush: shul 
homs: mosh ohms shmo 
hums: mush 
hon: noh 
horns: shorn 
norths: thorns 
north: thorn 
hons: nosh 
hunts: shunt 
ho: oh 
oho: ooh 
hoop: pooh 
hoops: poohs 
hotspots: potshots 
hotpots: hotspot potshot 
oohs: shoo soho 
shoots: sooths 
hoots: shoot sooth 
hops: posh shop 
throws: worths 
horus: hours 
roth: thor 
throw: worth wroth 
hos: ohs soh 
hosts: shots 
shouts: souths 
host: hots shot tosh 
shout: south thous 
hows: show 
hot: tho 
how: who 
thrust: truths 
hurt: ruth thru 
huts: shut thus tush 
kiwis: wikis 
kiwi: wiki 
imprints: misprint 
izmit: mitzi 
oppositions: oppositions 
kills: skill 
kiln: link 
kilns: links slink 
ilks: silk 
minks: minsk 
ink: kin 
ikon: oink 
ikons: oinks 
inks: sink skin 
sinks: skins 
knits: skint stink 
kips: skip spik 
skips: spiks 
irks: risk 
kiss: skis 
kits: skit 
pills: spill 
ills: sill 
lilts: still tills 
swill: wills 
silly: slily 
lilt: till 
limo: milo moil 
limos: moils 
mils: slim 
lino: lion loin 
lions: loins 
insult: sunlit 
unlit: until 
inly: liny 
pilots: pistol spoilt 
lori: roil 
loris: roils 
lois: oils silo soil soli 
silos: soils 
loti: toil 
pupils: slipup 
lips: lisp slip 
lisps: slips 
spilt: split 
lists: silts slits 
list: silt slit 
stilt: tilts 
silty: styli 
lit: til 
mutism: summit 
inmost: monist 
myosin: simony 
imports: tropism 
moist: omits 
miry: rimy 
ism: mis sim 
isms: miss sims 
mist: smit 
unions: unison 
portions: positron 
options: potions 
option: potion 
prions: prison 
pintos: piston pitons points 
pinto: piton point 
iron: orin 
irons: rosin 
intro: nitro 
ions: sion 
into: toni 
nip: pin 
prints: sprint 
nips: pins snip spin 
snips: spins 
input: putin 
quints: squint 
ins: sin 
nits: snit tins 
stint: tints 
tunis: units 
nit: tin 
isotropy: porosity 
outstrips: posturist 
piso: pois 
posit: topis 
quito: quoit 
riots: tiros torsi trios 
riot: tiro trio 
irrupts: stirrup 
spirt: strip trips 
pis: psi sip 
piss: psis sips 
pits: spit tips 
pit: tip 
quirts: squirt 
wrist: writs 
situs: suits 
its: sit tis 
titus: tutsi 
twist: twits 
wist: wits 
six: xis 
it: ti 
twi: wit 
journos: sojourn 
just: juts 
lookouts: outlooks 
lookout: outlook 
knows: wonks 
know: wonk 
spunks: spunks 
punks: spunk 
outworks: workouts 
outwork: workout 
kyoto: tokyo 
kurt: truk turk 
outpull: pullout 
stroll: trolls 
lumps: plums slump 
lump: plum 
lumpy: plumy 
lonny: nylon 
loon: nolo 
loons: solon 
lyons: sonly 
lyon: only 
loop: polo pool 
loops: polos pools sloop spool 
sloops: spools 
loos: oslo solo 
loots: stool 
lop: pol 
polyps: sloppy 
lops: pols slop 
ploys: polys 
pluto: poult 
ploy: poly 
lost: lots slot 
lotus: louts 
lows: owls slow 
low: owl 
purls: slurp 
lusts: sluts 
lust: slut 
mono: moon 
monos: moons 
morn: norm 
morns: norms 
mourn: munro 
mo: om 
moor: room 
moors: rooms 
mop: pom 
prom: romp 
proms: romps 
mops: poms 
most: mots toms 
sump: umps 
musts: smuts 
muss: sums 
must: smut tums 
mus: sum 
mu: um 
no: on 
pronto: proton 
snoop: spoon 
snoops: spoons 
sunspot: unstops 
pontus: unstop 
nor: ron 
nos: son 
snot: tons 
towns: wonts 
nous: onus 
nows: owns snow sown 
not: ton 
nowt: town wont 
now: own won 
puns: spun 
runts: turns 
runs: urns 
runt: turn 
run: urn 
nuts: stun tuns 
nus: sun 
nut: tun 
porto: troop 
oops: poos 
swoop: woops 
roosts: torsos 
roost: roots torso 
ouzos: ouzos 
otto: toot 
op: po 
sports: strops 
sprouts: stupors 
ports: sport strop 
proust: sprout stupor 
ops: sop 
poss: sops 
posts: spots stops 
spouts: stoups tossup 
opts: post pots spot stop tops 
outputs: putouts 
pouts: spout stoup 
opus: soup 
swop: wops 
opt: pot top 
output: putout 
pow: wop 
orts: rots sort tors 
torts: trots 
trouts: tutors 
roust: routs tours 
trows: worst worts 
story: tyros 
ours: sour 
ort: rot tor 
tort: trot 
trout: tutor 
rout: tour 
trow: wort 
tory: troy tyro 
sots: toss 
stouts: stouts 
stows: swots 
tost: tots 
stout: touts 
oust: outs 
stow: swot tows twos 
tow: two wot 
spurt: turps 
puss: sups 
pus: sup ups 
struts: trusts 
rusts: truss 
strut: trust 
rust: ruts 
rusty: yurts 
